packet_id,timestamp,length,direction,gap_before,gap_after,burst_id,rel_time,viz_bytes,cumulative_sum
532,41.85561776161194,172,1,0.01152801513671875,0.015144586563110352,6,0.4496119022369385,172.0,19903.0
533,41.87076234817505,172,1,0.015144586563110352,0.01511240005493164,6,0.46475648880004883,172.0,20075.0
534,41.88587474822998,172,1,0.01511240005493164,0.007444858551025391,6,0.47986888885498047,172.0,20247.0
535,41.893319606781006,60,-1,0.007444858551025391,0.025203943252563477,6,0.48731374740600586,-60.0,20187.0
536,41.91852355003357,172,1,0.025203943252563477,0.005017995834350586,6,0.5125176906585693,172.0,20359.0
537,41.92354154586792,60,-1,0.005017995834350586,0.001115560531616211,6,0.5175356864929199,-60.0,20299.0
538,41.924657106399536,286,1,0.001115560531616211,0.0005612373352050781,6,0.5186512470245361,286.0,20585.0
539,41.92521834373474,190,1,0.0005612373352050781,0.006173133850097656,6,0.5192124843597412,190.0,20775.0
540,41.93139147758484,1514,1,0.006173133850097656,0.00179290771484375,6,0.5253856182098389,1514.0,22289.0
541,41.93318438529968,1514,1,0.00179290771484375,7.319450378417969e-05,6,0.5271785259246826,1514.0,23803.0
542,41.93325757980347,1293,1,7.319450378417969e-05,0.0004761219024658203,6,0.5272517204284668,1293.0,25096.0
543,41.93373370170593,172,1,0.0004761219024658203,0.012802600860595703,6,0.5277278423309326,172.0,25268.0
544,41.94653630256653,172,1,0.012802600860595703,0.02054738998413086,6,0.5405304431915283,172.0,25440.0
545,41.96708369255066,172,1,0.02054738998413086,0.0031311511993408203,6,0.5610778331756592,172.0,25612.0
546,41.97021484375,60,-1,0.0031311511993408203,0.0066471099853515625,6,0.564208984375,-60.0,25552.0
547,41.97686195373535,60,-1,0.0066471099853515625,0.017834901809685277,6,0.5708560943603516,-60.0,25492.0
548,41.99469685554504,172,1,0.017834901809685277,0.010001897811889648,6,0.5886909961700368,172.0,25664.0
549,42.00469875335693,60,-1,0.010001897811889648,0.011761188507087184,6,0.5986928939819265,-60.0,25604.0
550,42.016459941864014,172,1,0.011761188507087184,0.013582944869995117,6,0.6104540824890137,172.0,25776.0
551,42.03004288673401,172,1,0.013582944869995117,0.01370382308959961,6,0.6240370273590088,172.0,25948.0
552,42.04374670982361,172,1,0.01370382308959961,0.010395526885993434,6,0.6377408504486084,172.0,26120.0
553,42.0541422367096,60,-1,0.010395526885993434,0.021616697311401367,6,0.6481363773346018,-60.0,26060.0
554,42.075758934021,146,-1,0.021616697311401367,0.00045466423033957426,6,0.6697530746460032,-146.0,25914.0
555,42.07621359825134,92,-1,0.00045466423033957426,0.0030226707458496094,6,0.6702077388763428,-92.0,25822.0
556,42.07923626899719,172,1,0.0030226707458496094,0.01361703872680664,6,0.6732304096221924,172.0,25994.0
557,42.092853307724,172,1,0.01361703872680664,0.014847517013549805,6,0.686847448348999,172.0,26166.0
558,42.10770082473755,172,1,0.014847517013549805,0.009661674499511719,6,0.7016949653625488,172.0,26338.0
559,42.11736249923706,60,-1,0.009661674499511719,0.011087656021118164,6,0.7113566398620605,-60.0,26278.0
560,42.12845015525818,172,1,0.011087656021118164,0.01688528060913086,6,0.7224442958831787,172.0,26450.0
561,42.14533543586731,60,-1,0.01688528060913086,0.010521173477172852,6,0.7393295764923096,-60.0,26390.0
562,42.15585660934448,172,1,0.010521173477172852,0.014155387878417969,6,0.7498507499694824,172.0,26562.0
563,42.1700119972229,172,1,0.014155387878417969,0.02100229263305664,6,0.7640061378479004,172.0,26734.0
564,42.19101428985596,172,1,0.02100229263305664,0.002307891845703125,6,0.785008430480957,172.0,26906.0
565,42.19332218170166,60,-1,0.002307891845703125,0.0113983154296875,6,0.7873163223266602,-60.0,26846.0
566,42.20472049713135,172,1,0.0113983154296875,0.023976564407348633,6,0.7987146377563477,172.0,27018.0
567,42.228697061538696,60,-1,0.023976564407348633,0.011242389678955078,6,0.8226912021636963,-60.0,26958.0
568,42.23993945121765,172,1,0.011242389678955078,0.014180898666381836,6,0.8339335918426514,172.0,27130.0
569,42.25412034988403,172,1,0.014180898666381836,0.014131546020507812,6,0.8481144905090332,172.0,27302.0
570,42.26825189590454,172,1,0.014131546020507812,0.009397029876708984,6,0.862246036529541,172.0,27474.0
571,42.27764892578125,60,-1,0.009397029876708984,0.0053727626800466055,6,0.87164306640625,-60.0,27414.0
572,42.2830216884613,172,1,0.0053727626800466055,0.023382425308234644,6,0.8770158290862966,172.0,27586.0
