index,timestamp,length,direction,overhead,status,burst_id
162,3.403967,600,1.0,600.0,dummy,1
163,3.423967,600,-1.0,600.0,dummy,1
164,3.443967,600,-1.0,600.0,dummy,1
165,3.463967,600,-1.0,600.0,dummy,1
166,3.483967,600,1.0,600.0,dummy,1
167,3.503967,600,-1.0,600.0,dummy,1
168,3.523967,600,1.0,600.0,dummy,1
169,3.543967,600,-1.0,600.0,dummy,1
170,3.563967,600,-1.0,600.0,dummy,1
171,3.583967,600,-1.0,600.0,dummy,1
172,3.603967,600,1.0,600.0,dummy,1
173,3.623967,600,1.0,600.0,dummy,1
174,3.643967,600,-1.0,600.0,dummy,1
175,3.663967,600,1.0,600.0,dummy,1
176,3.683967,600,1.0,600.0,dummy,1
177,3.703967,600,1.0,600.0,dummy,1
178,3.723967,600,1.0,600.0,dummy,1
179,3.743967,600,-1.0,600.0,dummy,1
180,3.763967,600,-1.0,600.0,dummy,1
181,3.783967,600,1.0,600.0,dummy,1
182,3.803967,600,1.0,600.0,dummy,1
183,3.823967,600,1.0,600.0,dummy,1
184,3.843967,600,-1.0,600.0,dummy,1
185,3.863967,600,1.0,600.0,dummy,1
186,3.883967,600,-1.0,600.0,dummy,1
187,3.903967,600,1.0,600.0,dummy,1
188,3.923967,600,-1.0,600.0,dummy,1
189,3.943967,600,1.0,600.0,dummy,1
190,3.963967,600,1.0,600.0,dummy,1
191,3.983967,600,1.0,600.0,dummy,1
192,4.003967,600,1.0,600.0,dummy,1
193,4.023967,600,1.0,600.0,dummy,1
194,4.043967,600,1.0,600.0,dummy,1
195,4.063967,600,1.0,600.0,dummy,1
196,4.083967,600,-1.0,600.0,dummy,1
197,4.103967,600,-1.0,600.0,dummy,1
198,4.123967,600,1.0,600.0,dummy,1
199,4.143967,600,1.0,600.0,dummy,1
200,4.163967,600,-1.0,600.0,dummy,1
201,4.183967,600,-1.0,600.0,dummy,1
202,4.203967,600,1.0,600.0,dummy,1
203,4.223967,600,-1.0,600.0,dummy,1
204,4.243967,600,-1.0,600.0,dummy,1
205,4.263967,600,-1.0,600.0,dummy,1
206,4.283967,600,-1.0,600.0,dummy,1
207,4.303967,600,1.0,600.0,dummy,1
208,4.323967,600,-1.0,600.0,dummy,1
209,4.343967,600,1.0,600.0,dummy,1
210,4.363967,600,1.0,600.0,dummy,1
211,4.383967,600,-1.0,600.0,dummy,1
212,4.403967,600,1.0,600.0,dummy,1
213,4.423967,600,-1.0,600.0,dummy,1
214,4.443967,600,-1.0,600.0,dummy,1
215,4.463967,600,1.0,600.0,dummy,1
216,4.483967,600,1.0,600.0,dummy,1
217,4.503967,600,1.0,600.0,dummy,1
218,4.523967,600,-1.0,600.0,dummy,1
219,4.543967,600,1.0,600.0,dummy,1
220,4.563967,600,1.0,600.0,dummy,1
221,4.583967,600,1.0,600.0,dummy,1
222,4.603967,600,-1.0,600.0,dummy,1
223,4.623967,600,-1.0,600.0,dummy,1
224,4.643967,600,-1.0,600.0,dummy,1
225,4.663967,600,-1.0,600.0,dummy,1
226,4.683967,600,1.0,600.0,dummy,1
227,4.703967,600,1.0,600.0,dummy,1
228,4.723967,600,1.0,600.0,dummy,1
229,4.743967,600,1.0,600.0,dummy,1
230,4.763967,600,1.0,600.0,dummy,1
231,4.783967,600,1.0,600.0,dummy,1
232,4.803967,600,-1.0,600.0,dummy,1
233,4.823967,600,-1.0,600.0,dummy,1
234,4.843967,600,1.0,600.0,dummy,1
235,4.863967,600,-1.0,600.0,dummy,1
236,4.883967,600,1.0,600.0,dummy,1
237,4.903967,600,1.0,600.0,dummy,1
238,4.923967,600,-1.0,600.0,dummy,1
239,4.943967,600,1.0,600.0,dummy,1
240,4.963967,600,-1.0,600.0,dummy,1
241,4.983967,600,-1.0,600.0,dummy,1
242,5.003967,600,1.0,600.0,dummy,1
243,5.023967,600,-1.0,600.0,dummy,1
244,5.043967,600,-1.0,600.0,dummy,1
245,5.063967,600,-1.0,600.0,dummy,1
246,5.083967,600,-1.0,600.0,dummy,1
247,5.103967,600,1.0,600.0,dummy,1
248,5.123967,600,1.0,600.0,dummy,1
249,5.143967,600,-1.0,600.0,dummy,1
250,5.163967,600,-1.0,600.0,dummy,1
251,5.183967,600,1.0,600.0,dummy,1
252,5.203967,600,-1.0,600.0,dummy,1
253,5.223967,600,-1.0,600.0,dummy,1
254,5.243967,600,-1.0,600.0,dummy,1
255,5.263967,600,-1.0,600.0,dummy,1
256,5.283967,600,-1.0,600.0,dummy,1
257,5.303967,600,1.0,600.0,dummy,1
258,5.323967,600,1.0,600.0,dummy,1
259,5.343967,600,-1.0,600.0,dummy,1
260,5.363967,600,-1.0,600.0,dummy,1
261,5.383967,600,1.0,600.0,dummy,1
262,5.403967,600,1.0,600.0,dummy,1
263,5.423967,600,1.0,600.0,dummy,1
264,5.443967,600,-1.0,600.0,dummy,1
265,5.463967,600,1.0,600.0,dummy,1
266,5.483967,600,-1.0,600.0,dummy,1
267,5.503967,600,-1.0,600.0,dummy,1
268,5.523967,600,1.0,600.0,dummy,1
269,5.543967,600,1.0,600.0,dummy,1
270,5.563967,600,-1.0,600.0,dummy,1
271,5.583967,600,1.0,600.0,dummy,1
272,5.603967,600,1.0,600.0,dummy,1
273,5.623967,600,-1.0,600.0,dummy,1
274,5.643967,600,1.0,600.0,dummy,1
275,5.663967,600,1.0,600.0,dummy,1
276,5.683967,600,1.0,600.0,dummy,1
277,5.703967,600,1.0,600.0,dummy,1
278,5.723967,600,1.0,600.0,dummy,1
279,5.743967,600,1.0,600.0,dummy,1
280,5.763967,600,1.0,600.0,dummy,1
281,5.783967,600,-1.0,600.0,dummy,1
282,5.803967,600,-1.0,600.0,dummy,1
283,5.823967,600,-1.0,600.0,dummy,1
284,5.843967,600,-1.0,600.0,dummy,1
285,5.863967,600,-1.0,600.0,dummy,1
286,5.883967,600,-1.0,600.0,dummy,1
287,5.903967,600,1.0,600.0,dummy,1
288,5.923967,600,-1.0,600.0,dummy,1
289,5.943967,600,1.0,600.0,dummy,1
290,5.963967,600,1.0,600.0,dummy,1
291,5.983967,600,1.0,600.0,dummy,1
292,6.003967,600,1.0,600.0,dummy,1
293,6.023967,600,1.0,600.0,dummy,1
294,6.043967,600,1.0,600.0,dummy,1
295,6.063967,600,-1.0,600.0,dummy,1
296,6.083967,600,-1.0,600.0,dummy,1
297,6.103967,600,-1.0,600.0,dummy,1
298,6.123967,600,1.0,600.0,dummy,1
299,6.143967,600,-1.0,600.0,dummy,1
300,6.163967,600,-1.0,600.0,dummy,1
301,6.183967,600,-1.0,600.0,dummy,1
302,6.203967,600,-1.0,600.0,dummy,1
303,6.223967,600,-1.0,600.0,dummy,1
304,6.243967,600,1.0,600.0,dummy,1
305,6.263967,600,1.0,600.0,dummy,1
306,6.283967,600,-1.0,600.0,dummy,1
307,6.303967,600,-1.0,600.0,dummy,1
308,6.323967,600,-1.0,600.0,dummy,1
309,6.343967,600,1.0,600.0,dummy,1
310,6.363967,600,1.0,600.0,dummy,1
311,6.383967,600,1.0,600.0,dummy,1
312,6.403967,600,-1.0,600.0,dummy,1
313,6.423967,600,-1.0,600.0,dummy,1
314,6.443967,600,1.0,600.0,dummy,1
315,6.463967,600,1.0,600.0,dummy,1
316,6.483967,600,-1.0,600.0,dummy,1
317,6.503967,600,-1.0,600.0,dummy,1
318,6.523967,600,1.0,600.0,dummy,1
319,6.543967,600,1.0,600.0,dummy,1
320,6.563967,600,1.0,600.0,dummy,1
321,6.583967,600,1.0,600.0,dummy,1
322,6.603967,600,1.0,600.0,dummy,1
323,6.623967,600,1.0,600.0,dummy,1
324,6.643967,600,1.0,600.0,dummy,1
325,6.663967,600,1.0,600.0,dummy,1
326,6.683967,600,1.0,600.0,dummy,1
327,6.703967,600,1.0,600.0,dummy,1
328,6.723967,600,-1.0,600.0,dummy,1
329,6.743967,600,1.0,600.0,dummy,1
330,6.763967,600,-1.0,600.0,dummy,1
331,6.783967,600,1.0,600.0,dummy,1
332,6.803967,600,1.0,600.0,dummy,1
333,6.823967,600,-1.0,600.0,dummy,1
334,6.843967,600,-1.0,600.0,dummy,1
335,6.863967,600,1.0,600.0,dummy,1
336,6.883967,600,-1.0,600.0,dummy,1
337,6.903967,600,1.0,600.0,dummy,1
338,6.923967,600,-1.0,600.0,dummy,1
339,6.943967,600,1.0,600.0,dummy,1
340,6.963967,600,-1.0,600.0,dummy,1
341,6.983967,600,1.0,600.0,dummy,1
342,7.003967,600,1.0,600.0,dummy,1
343,7.023967,600,-1.0,600.0,dummy,1
344,7.043967,600,-1.0,600.0,dummy,1
345,7.063967,600,1.0,600.0,dummy,1
346,7.083967,600,-1.0,600.0,dummy,1
347,7.103967,600,-1.0,600.0,dummy,1
348,7.123967,600,-1.0,600.0,dummy,1
349,7.143967,600,1.0,600.0,dummy,1
350,7.163967,600,1.0,600.0,dummy,1
351,7.183967,600,1.0,600.0,dummy,1
352,7.203967,600,-1.0,600.0,dummy,1
353,7.223967,600,-1.0,600.0,dummy,1
354,7.243967,600,-1.0,600.0,dummy,1
355,7.263967,600,-1.0,600.0,dummy,1
356,7.283967,600,1.0,600.0,dummy,1
357,7.303967,600,-1.0,600.0,dummy,1
358,7.323967,600,-1.0,600.0,dummy,1
359,7.343967,600,-1.0,600.0,dummy,1
360,7.363967,600,-1.0,600.0,dummy,1
361,7.383967,600,1.0,600.0,dummy,1
362,7.403967,600,1.0,600.0,dummy,1
363,7.423967,600,1.0,600.0,dummy,1
364,7.443967,600,-1.0,600.0,dummy,1
365,7.463967,600,1.0,600.0,dummy,1
366,7.483967,600,1.0,600.0,dummy,1
367,7.503967,600,1.0,600.0,dummy,1
368,7.523967,600,-1.0,600.0,dummy,1
369,7.543967,600,-1.0,600.0,dummy,1
370,7.563967,600,1.0,600.0,dummy,1
371,7.583967,600,-1.0,600.0,dummy,1
372,7.603967,600,-1.0,600.0,dummy,1
373,7.623967,600,-1.0,600.0,dummy,1
374,7.643967,600,1.0,600.0,dummy,1
375,7.663967,600,1.0,600.0,dummy,1
376,7.683967,600,1.0,600.0,dummy,1
377,7.703967,600,-1.0,600.0,dummy,1
378,7.723967,600,-1.0,600.0,dummy,1
379,7.743967,600,1.0,600.0,dummy,1
380,7.763967,600,-1.0,600.0,dummy,1
381,7.783967,600,1.0,600.0,dummy,1
382,7.803967,600,-1.0,600.0,dummy,1
383,7.823967,600,-1.0,600.0,dummy,1
384,7.843967,600,-1.0,600.0,dummy,1
385,7.863967,600,-1.0,600.0,dummy,1
386,7.883967,600,1.0,600.0,dummy,1
387,7.903967,600,1.0,600.0,dummy,1
388,7.923967,600,-1.0,600.0,dummy,1
389,7.943967,600,-1.0,600.0,dummy,1
390,7.963967,600,-1.0,600.0,dummy,1
391,7.983967,600,1.0,600.0,dummy,1
392,8.003967,600,-1.0,600.0,dummy,1
393,8.023967,600,-1.0,600.0,dummy,1
394,8.043967,600,1.0,600.0,dummy,1
395,8.063967,600,-1.0,600.0,dummy,1
396,8.083967,600,-1.0,600.0,dummy,1
397,8.103967,600,-1.0,600.0,dummy,1
398,8.123967,600,1.0,600.0,dummy,1
399,8.143967,600,-1.0,600.0,dummy,1
400,8.163967,600,1.0,600.0,dummy,1
401,8.183967,600,-1.0,600.0,dummy,1
402,8.203967,600,1.0,600.0,dummy,1
403,8.223967,600,1.0,600.0,dummy,1
404,8.243967,600,-1.0,600.0,dummy,1
405,8.263967,600,1.0,600.0,dummy,1
406,8.283967,600,1.0,600.0,dummy,1
407,8.303967,600,1.0,600.0,dummy,1
408,8.323967,600,-1.0,600.0,dummy,1
409,8.343967,600,-1.0,600.0,dummy,1
410,8.363967,600,1.0,600.0,dummy,1
411,8.383967,600,1.0,600.0,dummy,1
412,8.403967,600,-1.0,600.0,dummy,1
413,8.423967,600,1.0,600.0,dummy,1
414,8.443967,600,1.0,600.0,dummy,1
415,8.463967,600,1.0,600.0,dummy,1
416,8.483967,600,1.0,600.0,dummy,1
417,8.503967,600,1.0,600.0,dummy,1
418,8.523967,600,-1.0,600.0,dummy,1
419,8.543967,600,-1.0,600.0,dummy,1
420,8.563967,600,1.0,600.0,dummy,1
421,8.583967,600,-1.0,600.0,dummy,1
422,8.603967,600,1.0,600.0,dummy,1
423,8.623967,600,-1.0,600.0,dummy,1
424,8.643967,600,-1.0,600.0,dummy,1
425,8.663967,600,-1.0,600.0,dummy,1
426,8.683967,600,-1.0,600.0,dummy,1
427,8.703967,600,-1.0,600.0,dummy,1
428,8.723967,600,-1.0,600.0,dummy,1
429,8.743967,600,1.0,600.0,dummy,1
430,8.763967,600,-1.0,600.0,dummy,1
431,8.783967,600,1.0,600.0,dummy,1
432,8.803967,600,-1.0,600.0,dummy,1
433,8.823967,600,1.0,600.0,dummy,1
434,8.843967,600,1.0,600.0,dummy,1
435,8.863967,600,1.0,600.0,dummy,1
436,8.883967,600,-1.0,600.0,dummy,1
437,8.903967,600,-1.0,600.0,dummy,1
438,8.923967,600,1.0,600.0,dummy,1
439,8.943967,600,-1.0,600.0,dummy,1
440,8.963967,600,-1.0,600.0,dummy,1
441,8.983967,600,1.0,600.0,dummy,1
442,9.003967,600,1.0,600.0,dummy,1
443,9.023967,600,-1.0,600.0,dummy,1
444,9.043967,600,1.0,600.0,dummy,1
445,9.063967,600,1.0,600.0,dummy,1
446,9.083967,600,1.0,600.0,dummy,1
447,9.103967,600,-1.0,600.0,dummy,1
448,9.123967,600,-1.0,600.0,dummy,1
449,9.143967,600,-1.0,600.0,dummy,1
450,9.163967,600,1.0,600.0,dummy,1
451,9.183967,600,1.0,600.0,dummy,1
452,9.203967,600,-1.0,600.0,dummy,1
453,9.223967,600,-1.0,600.0,dummy,1
454,9.243967,600,-1.0,600.0,dummy,1
455,9.263967,600,-1.0,600.0,dummy,1
456,9.283967,600,-1.0,600.0,dummy,1
457,9.303967,600,1.0,600.0,dummy,1
458,9.323967,600,1.0,600.0,dummy,1
459,9.343967,600,1.0,600.0,dummy,1
460,9.363967,600,1.0,600.0,dummy,1
461,9.383967,600,-1.0,600.0,dummy,1
462,9.403967,600,1.0,600.0,dummy,1
463,9.423967,600,1.0,600.0,dummy,1
464,9.443967,600,1.0,600.0,dummy,1
465,9.463967,600,1.0,600.0,dummy,1
466,9.483967,600,1.0,600.0,dummy,1
467,9.503967,600,-1.0,600.0,dummy,1
468,9.523967,600,-1.0,600.0,dummy,1
469,9.543967,600,1.0,600.0,dummy,1
470,9.563967,600,1.0,600.0,dummy,1
471,9.583967,600,-1.0,600.0,dummy,1
472,9.603967,600,-1.0,600.0,dummy,1
473,9.623967,600,-1.0,600.0,dummy,1
474,9.643967,600,-1.0,600.0,dummy,1
475,9.663967,600,-1.0,600.0,dummy,1
476,9.683967,600,-1.0,600.0,dummy,1
477,9.703967,600,-1.0,600.0,dummy,1
478,9.723967,600,-1.0,600.0,dummy,1
479,9.743967,600,-1.0,600.0,dummy,1
480,9.763967,600,1.0,600.0,dummy,1
481,9.783967,600,-1.0,600.0,dummy,1
482,9.803967,600,1.0,600.0,dummy,1
483,9.823967,600,-1.0,600.0,dummy,1
484,9.843967,600,1.0,600.0,dummy,1
485,9.863967,600,1.0,600.0,dummy,1
486,9.883967,600,1.0,600.0,dummy,1
487,9.903967,600,-1.0,600.0,dummy,1
488,9.923967,600,-1.0,600.0,dummy,1
489,9.943967,600,-1.0,600.0,dummy,1
490,9.963967,600,-1.0,600.0,dummy,1
491,9.983967,600,-1.0,600.0,dummy,1
492,10.003967,600,-1.0,600.0,dummy,1
493,10.023967,600,1.0,600.0,dummy,1
494,10.043967,600,-1.0,600.0,dummy,1
495,10.063967,600,1.0,600.0,dummy,1
496,10.083967,600,1.0,600.0,dummy,1
497,10.103967,600,-1.0,600.0,dummy,1
498,10.123967,600,1.0,600.0,dummy,1
499,10.143967,600,1.0,600.0,dummy,1
500,10.163967,600,1.0,600.0,dummy,1
501,10.183967,600,-1.0,600.0,dummy,1
502,10.203967,600,1.0,600.0,dummy,1
503,10.223967,600,-1.0,600.0,dummy,1
504,10.243967,600,1.0,600.0,dummy,1
505,10.263967,600,-1.0,600.0,dummy,1
506,10.283967,600,-1.0,600.0,dummy,1
507,10.303967,600,-1.0,600.0,dummy,1
508,10.323967,600,1.0,600.0,dummy,1
