packet_id,timestamp,length,direction
239,17.04120635986328,172,1
240,17.055079221725464,172,1
241,17.068485498428345,172,1
242,17.078691720962524,60,-1
243,17.087635040283203,172,1
244,17.10581946372986,60,-1
245,17.11633849143982,172,1
246,17.146721839904785,172,1
247,17.151413440704346,172,1
248,17.15455150604248,60,-1
249,17.165644884109497,172,1
250,17.189090967178345,60,-1
251,17.194944381713867,172,1
252,17.215135097503662,172,1
253,17.21602439880371,434,-1
254,17.229073762893677,136,1
255,17.22926425933838,92,1
256,17.230936765670776,712,-1
257,17.253211498260498,60,-1
258,17.266655445098877,60,-1
259,17.34183645248413,74,1
260,17.342202186584473,54,1
261,17.37917685508728,66,-1
262,17.38385772705078,54,1
263,17.42178988456726,60,-1
264,17.485993146896362,312,1
265,17.523378610610962,60,-1
266,17.52356743812561,191,-1
267,17.617514610290527,54,1
268,17.617790460586548,105,1
269,17.65414595603943,460,-1
270,17.66863250732422,54,1
271,17.668795585632324,74,1
272,17.702336311340332,60,-1
273,17.712791919708252,66,-1
274,17.763915061950684,286,1
275,17.794360876083374,1514,-1
276,17.794604539871216,190,1
277,17.79472017288208,1514,-1
278,17.794981718063354,1514,-1
279,17.795141220092773,1514,-1
280,17.795255184173584,1514,-1
281,17.79538083076477,1514,-1
282,17.795512914657593,1514,-1
283,17.795613765716553,1514,-1
284,17.795747995376587,1514,-1
285,17.79593515396118,1514,-1
286,17.79663848876953,1514,1
287,17.796674966812134,1514,1
288,17.796694040298462,1170,1
289,17.796724796295166,136,1
290,17.797022104263306,92,1
291,17.79718518257141,810,1
292,17.79734468460083,54,1
293,17.79749846458435,54,1
294,17.797581672668457,54,1
295,17.79825472831726,54,1
296,17.798418521881104,54,1
297,17.79976773262024,54,1
298,17.79987931251526,54,1
299,17.800631761550903,312,1
300,17.800830841064453,54,1
301,17.801615953445435,54,1
302,17.804620504379272,54,1
303,17.832074880599976,60,-1
304,17.838903427124023,60,-1
305,17.838908433914185,60,-1
306,17.839405298233032,1514,-1
307,17.840675592422485,1514,-1
308,17.840677738189697,60,-1
309,17.84179377555847,60,-1
310,17.841798543930054,191,-1
311,17.843939304351807,1514,-1
312,17.844143867492676,1514,-1
313,17.844480991363525,1514,-1
314,17.84481406211853,1514,-1
315,17.84522771835327,1514,-1
316,17.845391511917114,1514,-1
317,17.84546422958374,1514,-1
318,17.845654726028442,574,-1
319,17.845656156539917,419,-1
320,17.933250188827515,146,-1
321,17.933254957199097,92,-1
322,17.9356951713562,92,1
323,17.94036293029785,54,1
324,17.94766402244568,54,1
325,17.948083877563477,54,1
326,17.948187112808228,54,1
327,17.948277235031128,54,1
328,17.948364734649658,85,1
329,17.94844913482666,54,1
330,17.95361614227295,74,1
331,17.954696655273438,96,1
332,17.972909688949585,60,-1
333,17.98598003387451,60,-1
334,17.98739242553711,54,1
335,17.990110635757446,60,-1
336,17.99706244468689,66,-1
337,18.002324104309082,54,1
338,18.00405740737915,312,1
339,18.038126230239868,60,-1
340,18.043344020843506,60,-1
341,18.0434787273407,60,-1
342,18.043479681015015,191,-1
343,18.055037021636963,191,-1
344,18.057831287384033,54,1
345,18.058095932006836,66,1
346,18.058260202407837,105,1
347,18.08121132850647,287,1
348,18.10226821899414,190,1
349,18.103869199752808,1514,1
350,18.103964805603027,1514,1
351,18.104028940200806,1174,1
352,18.10620379447937,136,1
353,18.107210159301758,92,1
354,18.11869716644287,60,-1
355,18.12766122817993,640,1
356,18.129592895507812,1514,1
357,18.129698991775513,1514,1
358,18.129874229431152,1426,1
359,18.143186330795288,60,-1
360,18.143929719924927,60,-1
361,18.14429473876953,60,-1
362,18.14595651626587,787,1
363,18.147820234298706,60,-1
364,18.16529083251953,60,-1
365,18.171672105789185,60,-1
366,18.18404746055603,60,-1
367,18.191431045532227,419,-1
368,18.193461894989014,85,1
369,18.193636655807495,54,1
370,18.231462717056274,60,-1
371,18.234191179275513,54,1
372,18.237948179244995,60,-1
373,18.24286937713623,146,-1
374,18.242873191833496,92,-1
375,18.245035886764526,54,1
376,18.257176637649536,475,-1
377,18.266443967819214,146,-1
378,18.266446828842163,92,-1
379,18.268219232559204,74,1
380,18.26863670349121,54,1
381,18.28904891014099,146,-1
382,18.289051055908203,92,-1
383,18.291284799575806,54,1
384,18.30354619026184,66,-1
385,18.30528497695923,54,1
386,18.30682110786438,312,1
387,18.335257291793823,105,1
388,18.34166932106018,60,-1
389,18.34610605239868,60,-1
390,18.346415996551514,191,-1
391,18.348177671432495,54,1
392,18.348595142364502,105,1
393,18.41473698616028,60,-1
394,18.419535636901855,781,1
395,18.442142009735107,60,-1
396,18.443676233291626,798,1
397,18.45940089225769,60,-1
398,18.47114062309265,419,-1
399,18.47322177886963,54,1
400,18.47450017929077,85,1
401,18.474623441696167,54,1
402,18.480016708374023,60,-1
403,18.486942768096924,419,-1
404,18.495850563049316,85,1
405,18.496111392974854,54,1
406,18.515421628952026,60,-1
407,18.516911268234253,54,1
408,18.5309419631958,60,-1
409,18.5393009185791,60,-1
410,18.55204701423645,54,1
411,22.01240849494934,298,1
412,22.01266598701477,190,1
413,22.01913571357727,1514,1
414,22.019821882247925,1514,1
415,22.020142793655396,1175,1
416,22.020182371139526,136,1
417,22.02036762237549,92,1
418,22.053128719329834,60,-1
419,22.058468341827393,60,-1
420,22.066081762313843,60,-1
421,22.066341876983643,60,-1
422,22.073113679885864,288,1
423,22.073452472686768,1514,1
424,22.074554443359375,1514,1
425,22.074967861175537,1392,1
426,22.075056791305542,92,1
427,22.112926244735718,60,-1
428,22.11895489692688,60,-1
429,22.11895751953125,60,-1
430,22.118959188461304,60,-1
431,22.11896014213562,60,-1
432,22.182801961898804,146,-1
433,22.182804346084595,92,-1
434,22.18923568725586,54,1
435,22.293424129486084,146,-1
436,22.293426752090454,92,-1
437,22.30025815963745,54,1
438,22.515007734298706,287,1
439,22.515165090560913,190,1
440,22.51546049118042,1514,1
441,22.515485048294067,1514,1
442,22.515501022338867,1169,1
443,22.51551580429077,136,1
444,22.515640020370483,92,1
445,22.554601669311523,60,-1
446,22.554604053497314,60,-1
447,22.560694694519043,60,-1
448,22.560700178146362,60,-1
449,22.560701608657837,60,-1
450,22.560702800750732,60,-1
451,22.699799299240112,146,-1
452,22.699801921844482,92,-1
453,22.704586029052734,54,1
454,29.99986696243286,100,-1
455,30.018068552017212,100,1
456,30.05692148208618,60,-1
457,41.406005859375,287,1
458,41.40660357475281,190,1
459,41.407206535339355,1514,1
460,41.407527685165405,1514,1
461,41.40891909599304,1470,1
462,41.409120321273804,132,1
463,41.40945219993591,1514,1
464,41.41075778007507,294,1
465,41.42058992385864,286,1
466,41.42138314247131,190,1
467,41.424153566360474,74,1
468,41.44400429725647,60,-1
469,41.44558072090149,1514,1
470,41.44588923454285,1514,1
471,41.45032835006714,60,-1
472,41.45033025741577,60,-1
473,41.4505889415741,60,-1
474,41.45099401473999,60,-1
